corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Auchnafree Hill,789m,NA,Auchnafree Hill from Loch Turret,https://www.walkhighlands.co.uk/perthshire/auchnafree-hill.shtml,5,6,18.25,623,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.4155,-3.9127,2488,NA
Bac an Eich,849m,NA,Bac an Eich from Strathconon,https://www.walkhighlands.co.uk/lochness/bac-an-eich.shtml,6.5,7,20.5,738,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.5226,-4.96225,735,NA
Baosbheinn,875m,NA,Baosbheinn,https://www.walkhighlands.co.uk/torridon/baosbheinn.shtml,8,9,23.1,1190,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,57.6873,-5.59741,814,NA
Beinn a' Bha'ach Ard,862m,NA,Beinn a' Bha'ach Ard,https://www.walkhighlands.co.uk/lochness/beinn-a-bha-ach-ard.shtml,6,7,16,928,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,57.4273,-4.6764,916,NA
Beinn a' Bhuiridh,897m,NA,Beinn a' Bhuiridh via the Monadh Driseig ridge,https://www.walkhighlands.co.uk/argyll/beinn-a-bhuiridh.shtml,5,6,11.5,862,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.4107,-5.0287,1251,NA
Beinn a' Chaisgein Mòr,856m,NA,Beinn a' Chaisgein Mòr from Poolewe via Carnmore,https://www.walkhighlands.co.uk/torridon/beinn-a-chaisgein-mor.shtml,13,14,45,1280,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,57.7656,-5.6027,504,NA
Beinn a' Chaisteil (Auch),886m,NA,Beinn a' Chaisteil and Beinn nam Fuaran from Auch,https://www.walkhighlands.co.uk/argyll/chaisteil-fuaran.shtml,7.5,8,21.5,1030,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.4607,-4.71466,1054,NA
Beinn a' Chaisteil (Strath Vaich),788m,NA,Beinn a' Chaisteil via Strath Vaich,https://www.walkhighlands.co.uk/ullapool/beinn-a-chaisteil.shtml,7,8,24,793,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.6978,-4.7307,689,NA
Beinn a' Chlaidheimh,914m,NA,"The Fisherfield 6, from Shenavall",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,12,18,29,2254,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.7768,-5.2545,2250,NA
Beinn a' Choin,770m,NA,Beinn a' Choin from Inversnaid,https://www.walkhighlands.co.uk/lochlomond/beinn-a-choin.shtml,5,6,8.75,697,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,56.2507,-4.6672,1245,NA
