munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Blà Bheinn,Isle of Skye,928,Blà Bheinn via the normal route from Loch Slapin,https://www.walkhighlands.co.uk/skye/blabheinn.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,990
Braeriach,Cairngorms,1296,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820
Bràigh Coire Chruinn-bhalgain,Perthshire,1070,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239
Broad Cairn,Cairngorms,998,"Creag an Dubh Loch and Broad Cairn, Glenmuick",https://www.walkhighlands.co.uk/cairngorms/creag-an-dubh-loch.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,8,23,813
Bruach na Frìthe,Isle of Skye,958,Am Basteir,https://www.walkhighlands.co.uk/skye/ambasteir.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,7,14,1175
Bynack More,Cairngorms,1090,Bynack More from Glenmore Lodge,https://www.walkhighlands.co.uk/cairngorms/bynackmore.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.5,7.5,22.5,756
Cairn Bannoch,Cairngorms,1012,Creag an Dubh-loch,https://www.walkhighlands.co.uk/cairngorms/creag-an-dubh-loch.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,8,23,813
Cairn Gorm,Cairngorms,1245,Ben Macdui and Cairngorm from the ski centre,https://www.walkhighlands.co.uk/cairngorms/macdui-cairngorm.shtml,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,8,17.5,932
Cairn of Claise,Cairngorms,1064,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891
Cairn Toul,Cairngorms,1291,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820
Càrn a' Chlamain,Perthshire,963,Càrn a' Chlamain from Glen Tilt,https://www.walkhighlands.co.uk/perthshire/carn-a-chlamain.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,26,930
Càrn a' Choire Bhòidheach,Cairngorms,1118,"White Mounth Munros, Glen Muick",https://www.walkhighlands.co.uk/cairngorms/white-mounth.shtml,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9,11,29,1228
Càrn a' Ghèoidh,Cairngorms,975,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595
Càrn a' Mhàim,Cairngorms,1037,Càrn a'Mhàim from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/carn-a-mhaim.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6,7,22.5,648
Càrn an Fhìdhleir (Càrn Ealar),Cairngorms,994,An Scarsoch and Càrn an Fhìdhleir from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/an-sgarsoch.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11,12,42,1059
Càrn an Rìgh,Perthshire,1029,Glas Tulaichean and Càrn an Rìgh from the Spittal of Glenshee,https://www.walkhighlands.co.uk/perthshire/glas-tulaichean.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,27,1085
Càrn an t-Sagairt Mòr,Cairngorms,1047,Lochnagar,https://www.walkhighlands.co.uk/cairngorms/lochnagar.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,7,19,930
Càrn an Tuirc,Cairngorms,1019,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891
Càrn Aosda,Cairngorms,917,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595
Càrn Bhac,Cairngorms,946,Beinn Iutharn Mhòr and Càrn Bhac from Inverey,https://www.walkhighlands.co.uk/cairngorms/beinn-iutharn-mhor.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10,32,983
Càrn Dearg (Corrour),Fort William,941,Càrn Dearg and Sgòr Gaibhre from Corrour Station,https://www.walkhighlands.co.uk/fortwilliam/sgor-gaibhre.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,21.75,973
Càrn Dearg (Loch Pattack),Cairngorms,1034,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",https://www.walkhighlands.co.uk/cairngorms/aonach-beag.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110
Càrn Dearg (Monadhliath),Cairngorms,945,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",https://www.walkhighlands.co.uk/cairngorms/monadhliath.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946
Càrn Eige,Loch Ness,1183,"Càrn Eige, Mam Sodhail and Beinn Fhionnlaidh from Glen Affric",https://www.walkhighlands.co.uk/lochness/carn-eige.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727
Càrn Ghluasaid,Kintail,957,Sgùrr nan Conbhairean from Loch Cluanie,https://www.walkhighlands.co.uk/kintail/sgurrnanconbhairean.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260
Càrn Gorm,Perthshire,1029,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330
